TS,BDEP,TPO,HL,BHT,WOB,Annotation
1607130720314.0,,19.548730759029663,522.50398646109,18.982,13.38,off_slips
1607130720822.0,0.0,15.586150199766896,523.1599864440919,19.068,12.73,off_slips
1607130721329.0,-0.17600000000038563,18.492042609892927,524.4419864108733,19.164,11.45,off_slips
1607130721838.0,0.0,16.114494274335264,525.0539863950153,19.249,10.84,off_slips
1607130722346.0,-0.18099999999958527,17.699526498040374,526.0819863683784,19.347,9.81,off_slips
1607130722853.0,0.0,17.699526498040374,526.5219863569772,19.347,9.37,off_slips
1607130723360.0,-0.1820000000006985,19.020386684461297,526.9659863454725,19.53,8.92,off_slips
1607130723867.0,0.0,18.492042609892927,526.9839863450061,19.621,8.91,off_slips
1607130724374.0,-0.1889999999993961,18.492042609892927,526.621986354386,19.728,9.27,off_slips
1607130724883.0,-0.19099999999980355,17.699526498040374,525.875986373716,19.812,10.01,off_slips
1607130725390.0,0.0,19.020386684461297,524.5419864082821,19.916,11.35,off_slips
1607130725898.0,0.0,19.020386684461297,523.8899864251765,20.015,12.0,off_slips
1607130726405.0,-0.20300000000042928,13.472773901493415,522.4499864624892,20.093,13.44,off_slips
1607130726812.0,0.0,17.699526498040374,521.8899864769996,20.173,14.0,off_slips
1607130727324.0,-0.15800000000035652,16.642838348903634,520.7539865064352,20.264,15.13,off_slips
1607130727832.0,-0.17799999999988358,17.699526498040374,520.3479865169553,20.351,15.54,off_slips
1607130728340.0,0.0,18.492042609892927,520.2759865188209,20.433,15.61,off_slips
1607130728848.0,0.0,19.020386684461297,520.4479865143642,20.514,15.44,off_slips
1607130729355.0,-0.16199999999935244,19.020386684461297,520.7339865069536,20.595,15.16,off_slips
1607130729859.0,0.0,16.114494274335264,521.611986484203,20.682,14.28,off_slips
1607130730368.0,-0.16900000000077853,19.020386684461297,522.0759864721801,20.77,13.81,off_slips
1607130730877.0,-0.17599999999947613,19.020386684461297,524.3439864134126,20.947,11.55,off_slips
1607130731385.0,0.0,19.020386684461297,524.6819864046545,21.042,11.21,off_slips
1607130731893.0,-0.18400000000019645,14.001117976061783,525.0899863940826,21.122,10.8,off_slips
1607130732401.0,0.0,18.492042609892927,525.183986391647,21.205,10.7,off_slips
1607130732808.0,-0.2510000000002037,17.171182423472004,524.8899863992649,21.293,11.0,off_slips
1607130733315.0,0.0,17.171182423472004,524.7419864030999,21.293,11.15,off_slips
1607130733823.0,-0.17999999999938154,18.492042609892927,524.3919864121689,21.474,11.5,off_slips
1607130734330.0,0.0,18.492042609892927,524.2439864160038,21.474,11.64,off_slips
1607130734837.0,0.0,17.699526498040374,523.9719864230517,21.559,11.92,off_slips
1607130735345.0,-0.1680000000005748,13.472773901493415,523.8119864271976,21.641,12.08,off_slips
1607130735852.0,0.0,18.492042609892927,523.5579864337791,21.729,12.33,off_slips
1607130736360.0,-0.16899999999986903,17.171182423472004,523.5979864327426,21.81,12.29,off_slips
1607130736868.0,0.0,19.020386684461297,523.407986437666,21.889,12.48,off_slips
1607130737374.0,-0.15899999999965075,19.020386684461297,523.4179864374067,21.97,12.47,off_slips
1607130737881.0,0.0,16.114494274335264,523.1639864439883,22.145,12.72,off_slips
1607130738387.0,-0.17600000000038563,17.699526498040374,522.9139864504662,22.237,12.98,off_slips
1607130738893.0,-0.17999999999938154,17.171182423472004,522.8219864528501,22.325,13.07,off_slips
1607130739400.0,0.0,18.492042609892927,522.5819864590688,22.408,13.31,off_slips
1607130739807.0,-0.1720000000004802,19.020386684461297,522.6139864582398,22.498,13.27,off_slips
